"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N",
"1500000US371010411053","Block Group 3, Census Tract 411.05, Johnston County, North Carolina","1227","1129","826","226","6","3","0","68","98","91","15","11","7","1","46","3","0","0","8","0","0","0","0","0","0","7","3","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411061","Block Group 1, Census Tract 411.06, Johnston County, North Carolina","2290","2096","1636","289","29","17","2","123","194","178","47","36","22","3","66","2","0","0","1","0","1","0","0","0","0","14","11","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1500000US371010411062","Block Group 2, Census Tract 411.06, Johnston County, North Carolina","3102","2854","2262","415","8","22","2","145","248","235","31","49","18","0","124","0","0","0","8","0","1","4","0","0","0","13","7","0","0","2","0","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411071","Block Group 1, Census Tract 411.07, Johnston County, North Carolina","2814","2543","1865","454","18","39","0","167","271","256","33","42","30","1","136","7","2","0","5","0","0","0","0","0","0","15","3","0","0","7","0","0","3","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411072","Block Group 2, Census Tract 411.07, Johnston County, North Carolina","2341","2131","1600","311","16","27","0","177","210","196","18","44","18","1","87","6","1","0","18","0","0","3","0","0","0","14","3","0","0","8","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411081","Block Group 1, Census Tract 411.08, Johnston County, North Carolina","1981","1842","1405","318","4","41","9","65","139","134","21","42","10","0","48","8","0","0","2","0","0","1","0","2","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411082","Block Group 2, Census Tract 411.08, Johnston County, North Carolina","1929","1736","1165","454","11","33","0","73","193","187","35","39","5","3","90","1","6","0","6","0","0","1","0","1","0","5","1","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411091","Block Group 1, Census Tract 411.09, Johnston County, North Carolina","1878","1737","1345","282","12","22","1","75","141","133","23","26","24","0","51","6","0","0","3","0","0","0","0","0","0","8","3","0","0","0","3","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411092","Block Group 2, Census Tract 411.09, Johnston County, North Carolina","1329","1202","1004","134","22","3","2","37","127","125","23","22","8","1","67","3","0","0","1","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411101","Block Group 1, Census Tract 411.10, Johnston County, North Carolina","982","861","604","207","9","18","0","23","121","113","21","33","3","0","43","6","0","1","5","0","0","0","0","1","0","7","1","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411102","Block Group 2, Census Tract 411.10, Johnston County, North Carolina","1008","943","689","194","11","3","0","46","65","59","8","12","5","0","24","10","0","0","0","0","0","0","0","0","0","6","0","0","0","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411103","Block Group 3, Census Tract 411.10, Johnston County, North Carolina","1779","1684","1271","301","13","8","0","91","95","91","12","21","13","0","39","0","0","0","6","0","0","0","0","0","0","3","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411111","Block Group 1, Census Tract 411.11, Johnston County, North Carolina","1268","1159","957","147","12","8","1","34","109","104","17","13","13","0","52","5","0","0","2","0","0","0","2","0","0","5","0","0","0","0","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411112","Block Group 2, Census Tract 411.11, Johnston County, North Carolina","2601","2447","1583","701","7","36","2","118","154","148","18","36","12","0","75","5","0","0","2","0","0","0","0","0","0","5","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1500000US371010411121","Block Group 1, Census Tract 411.12, Johnston County, North Carolina","3648","3354","2134","776","46","130","11","257","294","278","64","44","32","2","103","20","0","2","8","0","0","1","1","0","1","10","7","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","6","2","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411122","Block Group 2, Census Tract 411.12, Johnston County, North Carolina","2517","2347","1797","341","13","50","1","145","170","166","15","21","27","1","89","3","3","1","4","0","0","1","0","0","1","3","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411131","Block Group 1, Census Tract 411.13, Johnston County, North Carolina","879","837","662","105","3","27","0","40","42","41","10","10","7","0","14","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010411132","Block Group 2, Census Tract 411.13, Johnston County, North Carolina","1270","1141","982","112","4","9","1","33","129","118","20","33","10","0","48","3","0","0","2","0","0","1","0","1","0","9","1","0","0","3","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010412031","Block Group 1, Census Tract 412.03, Johnston County, North Carolina","1257","1147","889","33","23","1","0","201","110","105","15","28","0","1","61","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","1","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US371010412032","Block Group 2, Census Tract 412.03, Johnston County, North Carolina","628","594","518","10","5","1","1","59","34","34","6","10","1","1","15","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
