GEO_ID,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Other Race,MORE THAN 1 RACE
7000000US37037000015,2305,1823,233,10,41,3,65,390
7000000US37037000018,2476,1810,493,11,6,0,51,315
7000000US37037000020,2126,1604,281,16,20,0,97,324
7000000US37037000021,1568,1390,46,10,6,1,26,267
7000000US37037000024,864,789,21,2,0,0,15,111
7000000US37037000030,1913,1497,227,10,5,1,63,330
7000000US37037000042,2062,1765,105,9,51,1,39,276
7000000US37037000045,1060,877,112,0,1,0,22,144
7000000US37037000075,4547,3768,260,7,314,0,28,510
7000000US37037000078,5164,4475,190,12,140,3,110,702
7000000US37037000085,3882,1899,722,40,42,0,889,870
7000000US37037ESC114,5785,2421,1184,105,35,1,1539,1500
7000000US37037MCH110,8391,7046,406,38,274,6,157,1392
7000000US37037NWM117,6420,4857,430,37,274,2,446,1122
7000000US37037PIT113,7694,5499,1342,33,112,5,306,1191
7000000US3703900ANNW,1824,1617,17,26,13,0,37,342
7000000US3703900ANSW,1687,1512,29,27,0,0,32,261
7000000US3703900BELL,1403,1290,7,11,3,0,13,237
7000000US3703900BRAS,829,768,4,10,1,0,10,108
7000000US3703900CSON,1052,948,4,35,2,0,12,153
7000000US3703900GCRK,500,442,2,26,0,0,0,90
7000000US3703900HANG,723,671,2,10,0,0,4,108
7000000US3703900HIWA,2185,2052,17,19,2,0,8,261
7000000US3703900HOTH,1540,1439,11,15,0,0,7,204
7000000US3703900MARB,1589,1409,9,30,6,0,15,360
7000000US3703900MURN,2343,1975,114,40,37,0,11,498
7000000US3703900MURS,2825,2499,41,50,37,0,42,468
7000000US3703900PCHT,2606,2368,11,39,11,0,21,468
7000000US3703900RGER,1866,1734,3,7,3,0,11,324
7000000US3703900TOPT,483,443,3,12,4,0,5,48
7000000US3703900UNKA,596,541,3,11,0,0,9,96
7000000US37041000001,2301,933,1210,9,11,0,61,231
7000000US37041000002,3399,2021,1196,7,20,1,37,351
7000000US37041000003,1826,1593,97,9,6,0,47,222
