"GEO_ID","NAME","P4_001N","P4_002N","P4_003N","P4_004N","P4_005N","P4_006N","P4_007N","P4_008N","P4_009N","P4_010N","P4_011N","P4_012N","P4_013N","P4_014N","P4_015N","P4_016N","P4_017N","P4_018N","P4_019N","P4_020N","P4_021N","P4_022N","P4_023N","P4_024N","P4_025N","P4_026N","P4_027N","P4_028N","P4_029N","P4_030N","P4_031N","P4_032N","P4_033N","P4_034N","P4_035N","P4_036N","P4_037N","P4_038N","P4_039N","P4_040N","P4_041N","P4_042N","P4_043N","P4_044N","P4_045N","P4_046N","P4_047N","P4_048N","P4_049N","P4_050N","P4_051N","P4_052N","P4_053N","P4_054N","P4_055N","P4_056N","P4_057N","P4_058N","P4_059N","P4_060N","P4_061N","P4_062N","P4_063N","P4_064N","P4_065N","P4_066N","P4_067N","P4_068N","P4_069N","P4_070N","P4_071N","P4_072N","P4_073N",
"7000000US370210033.3","BLACK MOUNTAIN ELEMENTARY SCHOOL, Buncombe County, North Carolina","2201","112","2089","1993","1868","94","9","9","0","13","96","93","6","60","9","0","15","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210034.1","BLACK MOUNTAIN 3 - LAKE TOMAHAWK, Buncombe County, North Carolina","1173","34","1139","1089","1047","18","2","18","0","4","50","50","9","28","4","0","7","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210035.1","BLACK MOUNTAIN 4 - CARVER COMMUNITY CENTER, Buncombe County, North Carolina","2119","70","2049","1978","1818","133","3","11","1","12","71","68","13","30","10","0","10","3","0","0","0","0","0","1","0","1","0","3","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210036.1","BLACK MOUNTAIN 5 - MONTREAT CTR WALKUP BLDG, Buncombe County, North Carolina","2634","121","2513","2455","2297","131","11","9","0","7","58","58","6","33","7","0","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210037.1","BROAD RIVER COMMUNITY CENTER, Buncombe County, North Carolina","1637","29","1608","1540","1512","8","0","8","2","10","68","64","6","25","12","0","20","0","0","0","0","0","0","0","0","1","0","4","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210038.2","CANE CREEK MIDDLE SCHOOL, Buncombe County, North Carolina","1872","50","1822","1754","1719","25","1","6","1","2","68","64","8","36","9","2","8","1","0","0","0","0","0","0","0","0","0","4","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210038.3","TRINITY OF FAIRVIEW CHURCH, Buncombe County, North Carolina","3509","152","3357","3231","3052","111","15","40","0","13","126","121","8","72","11","1","25","3","1","0","0","0","0","0","0","0","0","5","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210039.2","FAIRVIEW VOLUNTEER FIRE DEPT, Buncombe County, North Carolina","1691","59","1632","1580","1532","20","2","12","5","9","52","48","2","28","1","0","16","0","0","0","1","0","0","0","0","0","0","4","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210039.3","FAIRVIEW COMMUNITY CENTER, Buncombe County, North Carolina","2737","79","2658","2579","2521","30","11","7","0","10","79","78","12","36","7","1","21","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US370210040.2","FLAT CREEK - NORTH BUNCOMBE ELEMENTARY, Buncombe County, North Carolina","4154","198","3956","3839","3763","35","5","19","0","17","117","115","11","64","2","0","34","3","0","0","1","0","0","0","0","0","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
